00:25:57.090:DEBUG:exporter: got next (rank 200), qsize 2, len(players) = 43
00:25:57.090:DEBUG:exporter: got next (rank 201), qsize 1, len(players) = 44
00:25:57.090:DEBUG:exporter: got next (rank 202), qsize 0, len(players) = 45
00:25:57.127:DEBUG:exporter: got next (rank 203), qsize 0, len(players) = 46
00:25:57.268:DEBUG:exporter: got next (rank 204), qsize 0, len(players) = 47
00:25:57.272:DEBUG:exporter: got next (rank 205), qsize 1, len(players) = 48
00:25:57.272:DEBUG:exporter: got next (rank 206), qsize 0, len(players) = 49
00:25:57.310:DEBUG:exported 50 documents: (ranks 157-206)
00:25:57.310:DEBUG:exporter: got next (rank 207), qsize 0, len(players) = 0
00:25:57.328:DEBUG:exporter: got next (rank 208), qsize 0, len(players) = 1
00:25:57.331:DEBUG:exporter: got next (rank 209), qsize 0, len(players) = 2
00:25:57.374:DEBUG:exporter: got next (rank 210), qsize 1, len(players) = 3
00:25:57.374:DEBUG:exporter: got next (rank 211), qsize 0, len(players) = 4
00:25:57.425:DEBUG:exporter: got next (rank 212), qsize 0, len(players) = 5
00:25:57.432:DEBUG:exporter: got next (rank 213), qsize 1, len(players) = 6
00:25:57.432:DEBUG:exporter: got next (rank 214), qsize 0, len(players) = 7
00:25:57.530:DEBUG:exporter: got next (rank 215), qsize 1, len(players) = 8
00:25:57.531:DEBUG:exporter: got next (rank 216), qsize 0, len(players) = 9
00:25:57.599:DEBUG:exporter: got next (rank 217), qsize 1, len(players) = 10
00:25:57.599:DEBUG:exporter: got next (rank 218), qsize 0, len(players) = 11
00:25:57.604:DEBUG:exporter: got next (rank 219), qsize 0, len(players) = 12
00:25:57.744:DEBUG:exporter: got next (rank 220), qsize 4, len(players) = 13
00:25:57.744:DEBUG:exporter: got next (rank 221), qsize 3, len(players) = 14
00:25:57.744:DEBUG:exporter: got next (rank 222), qsize 2, len(players) = 15
00:25:57.745:DEBUG:exporter: got next (rank 223), qsize 1, len(players) = 16
00:25:57.745:DEBUG:exporter: got next (rank 224), qsize 0, len(players) = 17
00:25:57.836:DEBUG:exporter: got next (rank 225), qsize 2, len(players) = 18
00:25:57.837:DEBUG:exporter: got next (rank 226), qsize 1, len(players) = 19
00:25:57.838:DEBUG:exporter: got next (rank 227), qsize 0, len(players) = 20
00:25:57.921:DEBUG:exporter: got next (rank 228), qsize 2, len(players) = 21
00:25:57.921:DEBUG:exporter: got next (rank 229), qsize 1, len(players) = 22
00:25:57.921:DEBUG:exporter: got next (rank 230), qsize 0, len(players) = 23
00:25:57.929:DEBUG:exporter: got next (rank 231), qsize 0, len(players) = 24
00:25:57.980:DEBUG:exporter: got next (rank 232), qsize 1, len(players) = 25
00:25:57.980:DEBUG:exporter: got next (rank 233), qsize 0, len(players) = 26
00:25:58.028:DEBUG:exporter: got next (rank 234), qsize 0, len(players) = 27
00:25:58.082:DEBUG:exporter: got next (rank 235), qsize 0, len(players) = 28
00:25:58.244:DEBUG:exporter: got next (rank 236), qsize 5, len(players) = 29
00:25:58.245:DEBUG:exporter: got next (rank 237), qsize 4, len(players) = 30
00:25:58.245:DEBUG:exporter: got next (rank 238), qsize 3, len(players) = 31
00:25:58.246:DEBUG:exporter: got next (rank 239), qsize 2, len(players) = 32
00:25:58.246:DEBUG:exporter: got next (rank 240), qsize 1, len(players) = 33
